inchi,names,iupac_name,smiles,cid,record_ids,logBB,logBB_group,BBB+/BBB-,BBB+/BBB-_group,split
"InChI=1S/C10H10BrNO2/c1-10(2)7-5-6(11)3-4-8(7)12-9(13)14-10/h3-5H,1-2H3,(H,12,13)",Brofoxine,"6-bromo-4,4-dimethyl-1H-3,1-benzoxazin-2-one",CC1(C)OC(=O)Nc2ccc(Br)cc21,30630.0,R6:481,,,BBB+,C,training
"InChI=1S/C10H10Cl2N2O/c11-8-2-1-7(5-9(8)12)15-6-10-13-3-4-14-10/h1-2,5H,3-4,6H2,(H,13,14)",Fenmetozole,"2-[(3,4-dichlorophenoxy)methyl]-4,5-dihydro-1H-imidazole",Clc1ccc(OCC2=NCCN2)cc1Cl,32049.0,R6:542,,,BBB+,C,training
"InChI=1S/C10H10ClNO2/c11-6-5-9-12-10(13)7-3-1-2-4-8(7)14-9/h1-4,9H,5-6H2,(H,12,13)",Chlorthenoxazine,"2-(2-chloroethyl)-2,3-dihydro-1,3-benzoxazin-4-one",O=C1NC(CCCl)Oc2ccccc21,8602.0,R6:1547,,,BBB+,C,test
"InChI=1S/C10H10FN3S/c1-13-9(12-14(2)10(13)15)7-4-3-5-8(11)6-7/h3-6H,1-2H3",Suritozole,"5-(3-fluorophenyl)-2,4-dimethyl-1,2,4-triazole-3-thione",Cn1nc(-c2cccc(F)c2)n(C)c1=S,25431.0,R6:573,,,BBB+,C,training
"InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3",Edaravone,5-methyl-2-phenyl-4H-pyrazol-3-one,CC1=NN(c2ccccc2)C(=O)C1,4021.0,R6:1264,,,BBB+,C,training
"InChI=1S/C10H10N2O3/c11-9(13)5-12-7-3-1-2-4-8(7)15-6-10(12)14/h1-4H,5-6H2,(H2,11,13)",Paraxazone,"2-(3-oxo-1,4-benzoxazin-4-yl)acetamide",NC(=O)CN1C(=O)COc2ccccc21,3047812.0,R6:593,,,BBB+,C,test
"InChI=1S/C10H10N2O3/c11-9(13)6-12-5-7-3-1-2-4-8(7)15-10(12)14/h1-4H,5-6H2,(H2,11,13)",Caroxazone,"2-(2-oxo-4H-1,3-benzoxazin-3-yl)acetamide",NC(=O)CN1Cc2ccccc2OC1=O,29083.0,R6:503,,,BBB+,C,test
"InChI=1S/C10H10N4O2S/c11-9(12)14-10-13-6(4-17-10)5-1-2-7(15)8(16)3-5/h1-4,15-16H,(H4,11,12,13,14)","Guanidinothiazol Analogue 17 Ac1Lbibi -- Pubmed|Benzene-1,2-Diol, 4-(2-Guanidinothiazol-4-Yl)-","2-[4-(3,4-dihydroxyphenyl)-1,3-thiazol-2-yl]guanidine",NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1,536278.0,R47:375,-1.54,A,BBB-,A,training
"InChI=1S/C10H10N4S/c11-9(12)14-10-13-8(6-15-10)7-4-2-1-3-5-7/h1-6H,(H4,11,12,13,14)","Skb19|Bbcpd15|2507-81-5|N-(4-Phenylthiazol-2-Yl)-Guanidine|B-052|16|10|1-(4-Phenyl-1,3-Thiazol-2-Yl)Guanidine","2-(4-phenyl-1,3-thiazol-2-yl)guanidine",NC(N)=Nc1nc(-c2ccccc2)cs1,3763607.0,R3:259|R3:309|R4:117|R12:31|R21:317|R25:10|R26:51|R28:154|R40:245|R41:231|R41:276|R46:10|R47:214|R48:63|R49:16|R52:16,,,BBB+,B,training
"InChI=1S/C10H10N6O2/c1-15-8(13-6-9(15)16(17)18)3-2-7-4-5-12-10(11)14-7/h2-6H,1H3,(H2,11,12,14)/b3-2+",Azanidazole,4-[(E)-2-(1-methyl-5-nitroimidazol-2-yl)ethenyl]pyrimidin-2-amine,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1,6436171.0,R14:368,,,BBB-,C,training
"InChI=1S/C10H11BrN2O3/c1-3-4-10(5-6(2)11)7(14)12-9(16)13-8(10)15/h3H,1-2,4-5H2,(H2,12,13,14,15,16)",Brallobarbital,"5-(2-bromoprop-2-enyl)-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,68416.0,R6:1641,,,BBB+,C,training
"InChI=1S/C10H11ClF3N3/c11-9-7(10(12,13)14)1-2-8(16-9)17-5-3-15-4-6-17/h1-2,15H,3-6H2","210821-63-9|Chebi: 568657|Org12962|B-103, Org12962|Org-12962|Org12692|1-(6-Chloro-5-(Trifluoromethyl)Pyridin-2-Yl)Piperazine",1-[6-chloro-5-(trifluoromethyl)pyridin-2-yl]piperazine,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,9796408.0,R4:161|R21:327|R25:334|R26:70|R28:33|R40:170|R47:302|R49:143,1.64,B,BBB+,A,training
"InChI=1S/C10H11ClFN5O3/c11-10-15-7(13)5-8(16-10)17(2-14-5)9-4(12)6(19)3(1-18)20-9/h2-4,6,9,18-19H,1H2,(H2,13,15,16)/t3-,4+,6-,9-/m1/s1",Clofarabine,"(2R,3R,4S,5R)-5-(6-amino-2-chloropurin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol",Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,119182.0,R23:471,,,BBB-,C,training
"InChI=1S/C10H11ClO3/c1-10(2,9(12)13)14-8-5-3-7(11)4-6-8/h3-6H,1-2H3,(H,12,13)",Clofibric Acid,2-(4-chlorophenoxy)-2-methylpropanoic acid,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,2797.0,R7:37|R29:38,,,BBB-,B,test
"InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)",Mecoprop,2-(4-chloro-2-methylphenoxy)propanoic acid,Cc1cc(Cl)ccc1OC(C)C(=O)O,7153.0,R7:99,,,BBB+,B,test
"InChI=1S/C10H11F3N2O5/c11-10(12,13)4-2-15(9(19)14-8(4)18)7-1-5(17)6(3-16)20-7/h2,5-7,16-17H,1,3H2,(H,14,18,19)/t5-,6+,7+/m0/s1",Trifluridine,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(trifluoromethyl)pyrimidine-2,4-dione",O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,6256.0,R23:1001,,,BBB-,C,training
"InChI=1S/C10H11I2NO3/c1-2-3-16-9(14)6-13-4-7(11)10(15)8(12)5-13/h4-5H,2-3,6H2,1H3",Propyliodone,"propyl 2-(3,5-diiodo-4-oxopyridin-1-yl)acetate",CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,4949.0,R23:1081,,,BBB-,C,training
"InChI=1S/C10H11N5S/c11-7-3-1-2-6(4-7)8-5-16-10(14-8)15-9(12)13/h1-5H,11H2,(H4,12,13,14,15)",Skb20|Bbcpd57|72801-60-6|Chebi: 338063|B-053|17|11|1-(4-(3-Aminophenyl)Thiazol-2-Yl)Guanidine,"2-[4-(3-aminophenyl)-1,3-thiazol-2-yl]guanidine",NC(N)=Nc1nc(-c2cccc(N)c2)cs1,14022509.0,R3:261|R3:310|R4:144|R12:41|R21:353|R25:11|R26:52|R28:155|R40:247|R41:233|R46:11|R47:216|R48:45|R49:17|R49:169|R52:17,-1.15,B,BBB-,A,training
"InChI=1S/C10H11NO4S2/c1-6(9(14)11-5-8(12)13)17-10(15)7-3-2-4-16-7/h2-4,6H,5H2,1H3,(H,11,14)(H,12,13)",Stepronin,2-[2-(thiophene-2-carbonylsulfanyl)propanoylamino]acetic acid,CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,54120.0,R23:924,,,BBB-,C,training
"InChI=1S/C10H12ClN3/c1-7-2-3-9(8(11)6-7)14-10-12-4-5-13-10/h2-3,6H,4-5H2,1H3,(H2,12,13,14)",4201-22-3|Tz-13|Tolonidine,"N-(2-chloro-4-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine",Cc1ccc(NC2=NCCN2)c(Cl)c1,72138.0,R4:5|R25:561|R40:285|R47:483,-0.65,B,BBB+,A,training
"InChI=1S/C10H12ClN3/c1-7-6-8(11)2-3-9(7)14-10-12-4-5-13-10/h2-3,6H,4-5H2,1H3,(H2,12,13,14)",4201-26-7|Tz-12|2-(2-Methyl-4-Chlorophenylamino)-2-Imidazoline,"N-(4-chloro-2-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine",Cc1cc(Cl)ccc1NC1=NCCN1,77870.0,R4:4|R25:560|R40:284|R47:482,-0.87,B,BBB+,A,training
"InChI=1S/C10H12ClN3O3S/c1-2-9-13-7-4-6(11)8(18(12,16)17)3-5(7)10(15)14-9/h3-4,9,13H,2H2,1H3,(H,14,15)(H2,12,16,17)",Quinethazone,"7-chloro-2-ethyl-4-oxo-2,3-dihydro-1H-quinazoline-6-sulfonamide",CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,6307.0,R14:812|R23:872,,,BBB-,C,training
"InChI=1S/C10H12ClN5O3/c11-10-14-8(12)7-9(15-10)16(3-13-7)6-1-4(18)5(2-17)19-6/h3-6,17-18H,1-2H2,(H2,12,14,15)/t4-,5+,6+/m0/s1",Cladribine,"(2R,3S,5R)-5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol",Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,20279.0,R28:249,,,BBB+,B,training
"InChI=1S/C10H12ClNO/c11-7-6-10(13)12-8-9-4-2-1-3-5-9/h1-5H,6-8H2,(H,12,13)",Beclamide,N-benzyl-3-chloropropanamide,O=C(CCCl)NCc1ccccc1,10391.0,R6:423,,,BBB+,C,training
"InChI=1S/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)",Baclofen,4-amino-3-(4-chlorophenyl)butanoic acid,NCC(CC(=O)O)c1ccc(Cl)cc1,2284.0,R7:15|R14:15|R25:372|R29:15|R46:325|R53:4,-1.51,B,BBB-,A,training
"InChI=1S/C10H12ClNO4/c11-7-1-3-9(4-2-7)15-5-8(13)6-16-10(12)14/h1-4,8,13H,5-6H2,(H2,12,14)",Chlorphenesin-Carbamate|Chlorphenesin Carbamate,[3-(4-chlorophenoxy)-2-hydroxypropyl] carbamate,NC(=O)OCC(O)COc1ccc(Cl)cc1,2724.0,R6:1440,,,BBB+,C,training
"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3",1-Methyl-5-(3-Pyridinyl)-2-Pyrrolidinone,1-methyl-5-pyridin-3-ylpyrrolidin-2-one,CN1C(=O)CCC1c1cccnc1,408.0,R41:142|R46:180,-0.35,B,BBB+,A,test
"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1",Cotinine|486-56-6,(5S)-1-methyl-5-pyridin-3-ylpyrrolidin-2-one,CN1C(=O)CC[C@H]1c1cccnc1,854019.0,R3:152|R3:153|R4:174|R6:516|R21:8|R25:194|R26:137|R40:87|R47:128,-0.38,D,BBB+,A,test
"InChI=1S/C10H12N2O2/c13-10(9-2-1-3-11-8-9)12-4-6-14-7-5-12/h1-3,8H,4-7H2",Nicopholine,morpholin-4-yl(pyridin-3-yl)methanone,O=C(c1cccnc1)N1CCOCC1,68116.0,R6:1263,,,BBB+,C,test
"InChI=1S/C10H12N2O2S/c13-15(14)9-5-2-1-4-8(9)12-7-3-6-10(12)11-15/h1-2,4-5,10-11H,3,6-7H2/t10-/m1/s1","S18986|(3As)-2,3,3A,4-Tetrahydro-1H-Pyrrolo[2,1-C][1,2,4]Benzothiadiazine 5,5-Dioxide","(3aS)-2,3,3a,4-tetrahydro-1H-pyrrolo[2,1-c][1,2,4]benzothiadiazine 5,5-dioxide",O=S1(=O)N[C@H]2CCCN2c2ccccc21,637863.0,R26:360,-0.6,A,BBB+,A,training
"InChI=1S/C10H12N2O3/c1-3-5-10(6-4-2)7(13)11-9(15)12-8(10)14/h3-4H,1-2,5-6H2,(H2,11,12,13,14,15)",Allobarbital,"5,5-bis(prop-2-enyl)-1,3-diazinane-2,4,6-trione",C=CCC1(CC=C)C(=O)NC(=O)NC1=O,5842.0,R6:1674|R25:115|R46:113,-0.22,B,BBB+,A,training
"InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)",Stavudine (D4T),"1-[5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione",Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=O,5155.0,R41:249|R46:153,-0.48,B,BBB+,A,training
"InChI=1S/C10H12N2O4/c1-6-4-12(10(15)11-9(6)14)8-3-2-7(5-13)16-8/h2-4,7-8,13H,5H2,1H3,(H,11,14,15)/t7-,8+/m0/s1",Stavudine,"1-[(2R,5S)-5-(hydroxymethyl)-2,5-dihydrofuran-2-yl]-5-methylpyrimidine-2,4-dione",Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,18283.0,R3:277|R14:854|R21:125|R23:923|R25:157|R26:390|R28:287|R40:261|R47:232,-0.48,B,BBB+,A,training
"InChI=1S/C10H12N2O6S/c1-3(13)5-7(14)12-6(9(15)16)4(19-8(5)12)2-18-10(11)17/h3,5,8,13H,2H2,1H3,(H2,11,17)(H,15,16)/t3-,5+,8-/m1/s1",Ritipenem,"(5R,6S)-3-(carbamoyloxymethyl)-6-[(1R)-1-hydroxyethyl]-7-oxo-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)S[C@H]12,65633.0,R6:261,,,BBB-,C,training
"InChI=1S/C10H12N4O3/c1-14-4-9(16)5-2-6(12-13-10(11)17)8(15)3-7(5)14/h2-3,9,15-16H,4H2,1H3,(H2,11,17)/b13-12+",Carbazochrome,"(3,6-dihydroxy-1-methyl-2,3-dihydroindol-5-yl)iminourea",CN1CC(O)c2cc(/N=N/C(N)=O)c(O)cc21,2557.0,R14:418,,,BBB-,C,training
"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)",9-[5-(Hydroxymethyl)Tetrahydrofuran-2-Yl]-9H-Purin-6-Ol,9-[5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,135422442.0,R41:150|R46:194,-1.3,B,BBB-,A,training
"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m0/s1",Didanosine|69655-05-6,"9-[(2R,5S)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,135398739.0,R3:162|R4:37|R5:38|R7:194|R12:73|R14:495|R17:52|R23:520|R25:210|R26:162|R28:19|R47:136|R49:103,-1.3,B,BBB-,A,training
"InChI=1S/C10H12N4O3/c15-3-6-1-2-7(17-6)14-5-13-8-9(14)11-4-12-10(8)16/h4-7,15H,1-3H2,(H,11,12,16)/t6-,7+/m1/s1","9-[(2S,5R)-5-(Hydroxymethyl)Oxolan-2-Yl]-3H-Purin-6-One","9-[(2S,5R)-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one",O=c1[nH]cnc2c1ncn2[C@@H]1CC[C@H](CO)O1,135483777.0,R48:43,-1.3,A,BBB-,A,training
"InChI=1S/C10H12N4O5S/c1-10(5-13-3-2-11-12-13)8(9(16)17)14-6(15)4-7(14)20(10,18)19/h2-3,7-8H,4-5H2,1H3,(H,16,17)/t7-,8+,10+/m1/s1",Tazobactam,"(2S,3S,5R)-3-methyl-4,4,7-trioxo-3-(triazol-1-ylmethyl)-4lambda6-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,123630.0,R6:281|R23:955,,,BBB-,C,test
"InChI=1S/C10H12N4OS/c1-7(15)13-9-4-2-8(3-5-9)6-12-14-10(11)16/h2-6H,1H3,(H,13,15)(H3,11,14,16)/b12-6+",Thiacetazone|N-(4-((2-Carbamothioylhydrazono)Methyl)Phenyl)Acetamide,N-[4-[(Z)-(carbamothioylhydrazinylidene)methyl]phenyl]acetamide,CC(=O)Nc1ccc(/C=N\NC(N)=S)cc1,5370664.0,R14:888,,,BBB-,C,training
"InChI=1S/C10H13ClN2/c11-9-2-1-3-10(8-9)13-6-4-12-5-7-13/h1-3,8,12H,4-7H2",1-(3-Chlorophenyl)Piperazine,1-(3-chlorophenyl)piperazine,Clc1cccc(N2CCNCC2)c1,1355.0,R29:93,,,BBB+,C,training
"InChI=1S/C10H13ClN2O3S/c1-2-7-12-10(14)13-17(15,16)9-5-3-8(11)4-6-9/h3-6H,2,7H2,1H3,(H2,12,13,14)",Chlorpropamide,1-(4-chlorophenyl)sulfonyl-3-propylurea,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,2727.0,R14:446|R23:453|R51:24,,,BBB-,C,training
"InChI=1S/C10H13FN2O4/c1-5-3-13(10(16)12-9(5)15)8-2-6(11)7(4-14)17-8/h3,6-8,14H,2,4H2,1H3,(H,12,15,16)",Alovudine Ok|3'-Fluorothymidine,"1-[4-fluoro-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O,284240.0,R3:120|R40:29|R41:115|R46:115,-0.59,B,BBB+,A,training
"InChI=1S/C10H13FN2O4/c1-5-3-13(10(16)12-9(5)15)8-2-6(11)7(4-14)17-8/h3,6-8,14H,2,4H2,1H3,(H,12,15,16)/t6-,7+,8+/m0/s1",Alovudine,"1-[(2R,4S,5R)-4-fluoro-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Cc1cn([C@H]2C[C@H](F)[C@@H](CO)O2)c(=O)[nH]c1=O,33039.0,R21:243|R25:117|R26:23|R47:102,-0.59,D,BBB+,A,training
"InChI=1S/C10H13FN2O5/c1-4-2-13(10(17)12-8(4)16)9-6(11)7(15)5(3-14)18-9/h2,5-7,9,14-15H,3H2,1H3,(H,12,16,17)",Clevudine|2'-Fluorothymidine,"1-[3-fluoro-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione",Cc1cn(C2OC(CO)C(O)C2F)c(=O)[nH]c1=O,352992.0,R23:468,,,BBB-,C,training
"InChI=1S/C10H13N3/c1-8-4-2-3-5-9(8)13-10-11-6-7-12-10/h2-5H,6-7H2,1H3,(H2,11,12,13)","36318-56-6|Tz-17|Imidazolidine, 2-(2-Methylphenylimino)-","N-(2-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine",Cc1ccccc1NC1=NCCN1,142067.0,R4:8|R25:564|R40:288|R47:477,-1.39,B,BBB-,A,training
"InChI=1S/C10H13N3/c11-10(12)13-6-5-8-3-1-2-4-9(8)7-13/h1-4H,5-7H2,(H3,11,12)",Debrisoquin|Debrisoquine,"3,4-dihydro-1H-isoquinoline-2-carboximidamide",N=C(N)N1CCc2ccccc2C1,2966.0,R23:500,,,BBB-,C,training
"InChI=1S/C10H13N3O5S/c1-8-7-19(16,17)5-4-12(8)11-6-9-2-3-10(18-9)13(14)15/h2-3,6,8H,4-5,7H2,1H3/b11-6+","Nifurtimox|N-(3-Methyl-1,1-Dioxo-1,4-Thiazinan-4-Yl)-1-(5-Nitrofuran-2-Yl)Methanimine","(Z)-N-(3-methyl-1,1-dioxo-1,4-thiazinan-4-yl)-1-(5-nitrofuran-2-yl)methanimine",CC1CS(=O)(=O)CCN1/N=C\c1ccc([N+](=O)[O-])o1,6178305.0,R14:719,,,BBB-,C,training
